C:\Dev\Efecty.SiewebLive\AccesoDatos.Georeferenciador\DaoGeoreferenciador.cs,spLnGEOUpdMensajeNotificacion
C:\Dev\Efecty.SiewebLive\AccesoDatos.Georeferenciador\DaoGeoreferenciador.cs,spMONHORSelConsultarPAPOperando
C:\Dev\Efecty.SiewebLive\AccesoDatos.Georeferenciador\DaoGeoreferenciador.cs,spCAJUpdGuardarDatosMaquina
C:\Dev\Efecty.SiewebLive\AccesoDatos.HuellaPago\DaoHuellaPago.cs,spHUEPAGInsHuellaPago
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,SpLnSINSelControlSincronizacion
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,SpLnSINSelControlSincronizacion
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,SpLnSINSelControlSincronizacion
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,spSEGUpdEsNuevaVersionPS
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,spLnSINUpdActualizaFechaSincronizacion
C:\Dev\Efecty.SiewebLive\AccesoDatos.TablasBasicas\TablasBasicasDao.cs,spCRESelSincronizaCache
C:\Dev\Efecty.SiewebLive\Efecty.AlertasVentas.Servicio\Componentes\Efecty.AlertasVentas.AccesoDatos\DAO\DaoAlerta.cs,spProVenSelConsultarTope
C:\Dev\Efecty.SiewebLive\Efecty.AlertasVentas.Servicio\Componentes\Efecty.AlertasVentas.AccesoDatos\DAO\DaoAlerta.cs,spProVenSelConsultarSaldo
C:\Dev\Efecty.SiewebLive\Efecty.AlertasVentas.Servicio\Componentes\Efecty.AlertasVentas.AccesoDatos\DAO\DaoAlerta.cs,spProVenUpdAfectarSaldo
C:\Dev\Efecty.SiewebLive\Efecty.ServicioHuellas.AccesoDatos\DaoServicioHuellas.cs,SpLnCAJRegistrarHuella
C:\Dev\Efecty.SiewebLive\Efecty.ServicioHuellas.AccesoDatos\DaoServicioHuellas.cs,SpUSUSelHuella
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Auditoria\Integraciones\DaoAuditoria.cs,spInsAuditoriaIntegraciones
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Auditoria\Integraciones\V2\DaoAuditoria.cs,spInsAuditoriaIntegracion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Auditoria\Integraciones\V2\DaoAuditoria.cs,spAUDINTCBInsAuditoriaIntegracionCB
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Auditoria\Integraciones\V2\DaoAuditoria.cs,spAUDINTLOTInsAuditoriaIntegracionLOT
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Auditoria\Integraciones\V2\DaoAuditoria.cs,spAUDRECInsAuditoriaRecomendacion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\GiroEmpresarialDaoInstrumentacion.cs,spAUDInsInstrumentacionGE
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\GiroEmpresarialDaoInstrumentacion.cs,spAUDInsExcepcionesGE
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\PortalEmpSateliteDaoInstrumentacion.cs,spAUDInsInstrumentacionPES
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\PortalEmpSateliteDaoInstrumentacion.cs,spAUDInsExcepcionesPES
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\SiewebLiveDaoInstrumentacion.cs,spLnAUDInsInstrumentacion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\SiewebLiveDaoInstrumentacion.cs,spLnAUDInsInstrumentacionExcepciones
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\WebLiveDGDaoInstrumentacion.cs,spAUDInsInstrumentacionDG
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\AccesoDatos\WebLiveDGDaoInstrumentacion.cs,spAUDInsExcepcionesDG
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\DaoInstrumentacion.cs,spLnAUDInsInstrumentacion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\DaoInstrumentacion.cs,spLnAUDInsInstrumentacionExcepciones
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\DaoInstrumentacion.cs,SpLnCOMSelParametriosGenerales
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\DaoInstrumentacion.cs,SPLnPROUSUSelMailNotificacion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Instrumentacion\DaoInstrumentacion.cs,SpLnCOMSelParametriosGenerales
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Seguridad\DaoSeguridad.cs,SpLnCOMSelParametriosGenerales
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRAInsSeguimientoInicial
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRAInsTxReejecutable
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRAUpdTxReejecutable
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRASelEstadoXIdTransaccion
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRAUpdEstadoTx
C:\Dev\Efecty.SiewebLive\Framework.Gestores\Transacciones\Transaccion.cs,spLnTRASelSeguimientoXIdTransaccion
C:\Dev\Efecty.SiewebLive\Gestores.ClaroGestor\DaoGestoresClaroGestor.cs,spPUNSERSelCodDanePorPS
C:\Dev\Efecty.SiewebLive\Gestores.ClaroGestor\DaoGestoresClaroGestor.cs,spPARINTUpdValorParametro
C:\Dev\Efecty.SiewebLive\Gestores.Movistar\DaoMovistar.cs,spPUNSERSelConsultarCamposPS
C:\Dev\Efecty.SiewebLive\Int\Gestores.SumaMovil\DaoGestorSumaMovil.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AdelantosRec\DaoIntegracionAdelantos.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.Afinia\DaoIntegracionAfinia.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AguasdeCartagena\DaoIntegracionAguasdeCartagena.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AguasDeTunja\DaoIntegracionaguasDeTunja.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AloCredit\DaoIntegracionAloCredit.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.Amelissa\DaoIntegracionAmelissa.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AquiJuegoPagos\DaoProductoPagoAquiJuego.cs,spMOVPROPLAUpdCampoClave
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AquiJuegoPagos\DaoProductoPagoAquiJuego.cs,spInsProdPagoTransDiarias
C:\Dev\Efecty.SiewebLive\Int\Integraciones.AquiJuegoPagos\DaoProductoPagoAquiJuego.cs,spInsProdPagoTransDiarias
